time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.918529,2.5166,-2.1163,3.1765,4.572
1.928539,1.9938,-2.2380,3.6945,4.757
1.939116,1.7982,-2.0395,2.9361,4.002
1.949011,1.1052,-1.5403,1.6189,2.493
1.961890,0.3897,-0.9633,0.3945,1.111
1.972355,-0.2690,-0.4659,-0.4175,0.681
1.981629,-0.8981,0.0237,-0.4827,1.020
1.989409,-0.9701,0.5532,-0.2357,1.141
1.999520,-1.1789,0.8604,-0.7499,1.641
2.009343,-1.5796,1.0043,-1.3003,2.279
2.024208,-1.8203,1.0144,-1.8406,2.780
2.037183,-2.0869,1.0509,-2.4003,3.350
2.050357,-2.2981,1.1673,-2.8995,3.880
2.055471,-2.4068,1.2970,-3.3202,4.301
2.064727,-1.9540,1.1784,-3.5690,4.236
2.074755,-2.1996,0.3909,-4.2230,4.778
2.085190,-3.7325,0.0951,-3.4792,5.104
2.094875,-1.1061,0.9348,-2.9149,3.255
2.107243,-1.4529,0.2506,-2.0937,2.561
2.118425,-0.2263,-0.5579,0.2031,0.635
2.125605,1.9726,-1.3971,2.4147,3.417
2.136819,2.4588,-1.5650,2.0775,3.579
2.148300,1.5738,-1.0576,0.3505,1.928
2.155560,0.8819,-0.7879,-1.0047,1.552
2.165787,1.1538,-0.7909,-1.2738,1.892
2.175893,1.7687,-0.6706,-0.7176,2.023
2.185576,2.0501,-0.4516,-0.2694,2.116
2.196131,2.2203,-0.2038,0.1367,2.234
2.206075,2.3409,-0.1080,0.4740,2.391
2.217309,2.2019,-0.2932,0.4608,2.269
2.226601,1.8936,-0.9038,0.0549,2.099
2.236979,1.8906,-1.0930,0.0345,2.184
2.248410,1.8738,-1.1367,0.3593,2.221
2.260559,1.4589,-1.2949,0.7912,2.105
2.267750,0.8161,-1.5555,1.2283,2.143
2.277301,0.1724,-1.1403,2.0378,2.342
2.287581,-0.1473,-0.8173,2.2815,2.428
2.296547,-0.3583,-0.7324,1.9808,2.142
2.307383,-0.4671,-1.0165,0.5666,1.254
2.317034,-0.3027,-1.4609,-0.2583,1.514
2.328488,-0.1203,-1.6521,0.5415,1.743
2.339846,-0.1022,-1.3913,2.0540,2.483
2.349471,-0.4284,-0.7821,3.2812,3.400
2.359278,-0.8270,-0.2652,3.5319,3.637
2.366960,-0.9365,-0.1870,2.8065,2.965
2.377756,-0.5390,-0.4403,1.6997,1.837
2.387267,-0.0513,-0.8812,0.3545,0.951
2.398127,0.1568,-1.2121,-0.8595,1.494
2.407457,0.0712,-1.1340,-1.4898,1.874
2.418572,-0.1060,-0.8498,-1.4329,1.669
2.430185,-0.3638,-0.5442,-1.0115,1.205
2.438780,-0.5264,-0.4705,-0.7022,0.996
2.448080,-0.4175,-0.6195,-0.5123,0.906
2.459131,-0.2021,-0.8264,-0.5323,1.004
2.470203,-0.4927,-1.3088,-1.8558,2.324
2.478106,-0.3143,-1.0617,-1.0407,1.520
2.488422,-0.2871,-0.7955,-0.6112,1.043
2.498227,-0.6871,-0.7658,-1.0885,1.498
2.508214,-0.7374,-0.7453,-0.4871,1.156
2.518351,-0.9296,-1.1089,-0.1496,1.455
2.528267,-0.9689,-1.0596,0.5573,1.540
2.540667,-1.0169,-0.8196,1.1670,1.751
2.551225,-1.0039,-0.6066,1.5712,1.961
2.560931,-0.9092,-0.4823,1.7519,2.032
2.568793,-0.7679,-0.5264,1.6693,1.911
2.582382,-0.6419,-0.6997,1.2707,1.586
2.588686,-0.5848,-0.9102,0.8452,1.373
2.598847,-0.5210,-1.0191,0.6060,1.295
2.609601,-0.4273,-0.9929,0.4971,1.190
2.618696,-0.1616,-0.9844,0.3276,1.050
2.628469,0.2802,-1.0551,0.0828,1.095
2.640485,0.4054,-0.6268,-0.4503,0.872
2.644707,0.2699,-0.0426,-0.7617,0.809
2.654908,0.2713,0.1552,-0.5918,0.669
2.664601,0.3715,-0.0217,-0.0615,0.377
2.674909,0.5764,-0.3912,0.4455,0.827
2.684711,0.8795,-0.6008,0.9258,1.411
2.694565,1.1837,-0.7219,1.1200,1.782
2.704893,1.3002,-0.9209,1.1286,1.953
2.716571,0.9495,-1.0683,1.4456,2.033
2.727156,0.2667,-1.1677,2.5569,2.824
2.738348,-0.7212,-1.1390,3.3678,3.628
2.752596,-1.7590,-1.1519,3.5038,4.086
2.756041,-2.3004,-1.3690,3.1018,4.097
2.767022,-2.4798,-1.6468,2.0500,3.614
2.777943,-2.5498,-1.8966,0.5700,3.229
2.790006,-2.7092,-1.8708,-1.0080,3.443
2.797982,-2.8925,-1.4789,-2.4110,4.046
2.805900,-3.0379,-0.9125,-3.5663,4.773
2.816213,-2.9803,-0.5008,-4.3237,5.275
2.826064,-2.8119,-0.0645,-4.5765,5.372
2.836763,-2.6936,0.3862,-4.6113,5.354
2.851718,-2.3794,0.6136,-4.5391,5.162
2.860371,-1.8604,0.6323,-4.4653,4.878
2.866486,-1.2607,0.6498,-4.1841,4.418
2.876711,-0.7695,0.6529,-3.7033,3.838
2.887418,-0.3305,0.6137,-2.8504,2.934
2.896671,-0.0573,0.5750,-1.9313,2.016
2.907474,0.0418,0.6820,-1.2563,1.430
2.916613,0.0227,0.9646,-0.8463,1.283
2.926927,0.1338,1.1663,-0.7337,1.384
2.938138,0.3517,1.1161,-0.8635,1.454
2.949343,0.5768,0.9438,-0.8648,1.404
2.963709,0.7518,0.9077,-0.6590,1.350
2.967453,0.8760,1.0653,-0.4924,1.464
2.977051,1.0268,1.1620,-0.2010,1.564
2.987258,1.1628,1.0390,-0.0512,1.560
2.997370,1.2741,0.9069,-0.2149,1.579
3.007894,1.2834,0.6976,-0.7345,1.635
3.018907,1.2149,0.5211,-1.1811,1.773
3.028737,1.0156,0.3628,-1.4160,1.780
3.039530,0.5300,0.3184,-1.4359,1.563
3.050405,-0.0349,0.4437,-1.4400,1.507
3.060841,-0.5789,0.6680,-1.3655,1.627
3.073681,-0.9665,0.8547,-1.3943,1.900
3.081190,-1.1938,0.8357,-1.3800,2.007
3.088344,-1.1894,0.5730,-1.3571,1.893
3.098351,-1.3206,0.1867,-1.3546,1.901
3.108813,-1.5680,-0.0717,-1.3602,2.077
3.118346,-1.7669,-0.2595,-1.4335,2.290
3.128819,-2.1863,-0.5191,-1.6357,2.779
3.138489,-2.4776,-0.4397,-1.7462,3.063
3.149612,-2.2119,-0.1809,-1.5682,2.717
3.160802,-1.3675,-0.2698,-1.0886,1.769
3.173955,3.0939,-0.2181,-1.5840,3.483
3.182259,5.4763,0.1460,-0.7405,5.528
3.188870,5.7987,0.5631,-0.5975,5.857
