time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
10.900137,-0.0535,-0.0620,0.0788,0.114
10.909005,-0.0679,-0.0351,0.0480,0.090
10.918212,-0.0784,-0.0275,0.0684,0.108
10.928511,-0.0638,-0.0542,0.0814,0.117
10.937815,-0.0722,-0.0356,0.0836,0.116
10.947848,-0.0638,-0.0233,0.0752,0.101
10.958643,-0.0438,-0.0312,0.0386,0.066
10.968267,-0.0655,-0.0319,0.0332,0.080
10.978497,-0.0465,-0.0172,0.0762,0.091
10.989619,-0.0562,-0.0277,0.0773,0.100
11.011083,-0.0574,-0.0345,0.0289,0.073
11.015184,-0.0527,-0.0235,0.0226,0.062
11.020803,-0.0432,-0.0255,0.0622,0.080
11.029410,-0.0589,-0.0311,0.0612,0.090
11.042336,-0.0401,-0.0225,0.0508,0.068
11.048409,-0.0498,-0.0200,0.0440,0.069
11.059599,-0.0558,-0.0033,0.0174,0.059
11.069474,-0.0027,-0.0421,-0.0889,0.098
11.079770,0.0523,-0.0315,-0.1989,0.208
11.089496,-0.1236,0.0142,0.3840,0.404
11.100592,0.0101,-0.0438,-0.0546,0.071
11.110145,-0.0727,-0.0077,0.1431,0.161
11.119476,-0.0588,-0.0099,0.1537,0.165
11.129052,-0.0646,-0.0214,0.1239,0.141
11.142117,-0.0485,-0.0212,0.0533,0.075
11.156115,0.0312,-0.0519,-0.1692,0.180
11.163714,-0.0804,0.0033,0.0834,0.116
